customer_id,age,gender,city,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,support_calls,complaints,login_frequency,subscription_type,satisfaction_score,inactive_days,churn
C046,42,Female,Chennai,32,42.27,1290.34,2-Year,Debit Card,DSL,4,4,2,Standard,9,60,No
C047,33,Female,Coimbatore,36,90.61,3338.11,Yearly,Bank Transfer,DSL,1,2,9,Basic,7,44,No
C048,60,Female,Coimbatore,36,65.42,2447.79,Monthly,Debit Card,DSL,7,2,11,Premium,5,14,No
C049,30,Female,Bengaluru,48,97.41,4440.14,Monthly,Credit Card,None,4,5,20,Standard,9,38,Yes
C050,24,Male,Pune,15,53.72,832.62,Monthly,Credit Card,DSL,0,4,11,Basic,3,40,Yes
C051,49,Male,Chennai,37,70.48,2541.3,Monthly,UPI,DSL,1,0,14,Standard,8,4,No
C052,61,Male,Hyderabad,10,115.17,1075.26,Yearly,Credit Card,Fiber,6,4,21,Premium,10,14,Yes
C053,42,Female,Coimbatore,20,119.05,2306.86,2-Year,UPI,None,1,1,22,Premium,4,16,No
C054,28,Male,Hyderabad,36,25.25,901.8,Monthly,Bank Transfer,DSL,3,2,24,Basic,5,44,Yes
C055,22,Male,Pune,51,81.03,4333.47,Yearly,Credit Card,DSL,8,1,22,Basic,3,58,Yes
C056,27,Male,Chennai,11,81.53,943.36,Yearly,Debit Card,DSL,7,5,11,Basic,7,60,Yes
C057,52,Female,Coimbatore,6,109.5,681.65,Yearly,Debit Card,Fiber,3,5,28,Basic,10,37,Yes
C058,66,Female,Chennai,49,69.7,3498.09,Yearly,Debit Card,Fiber,6,5,28,Premium,8,5,No
C059,44,Female,Delhi,43,40.28,1707.55,Monthly,Bank Transfer,DSL,6,4,3,Premium,8,5,Yes
C060,38,Male,Kochi,56,118.87,6824.64,Monthly,Bank Transfer,DSL,3,4,13,Basic,10,48,Yes
C061,46,Male,Mumbai,18,113.13,2016.18,Monthly,Bank Transfer,Fiber,3,5,7,Basic,5,35,Yes
C062,44,Male,Mumbai,54,68.84,3489.84,2-Year,Credit Card,DSL,4,4,24,Premium,5,26,No
C063,48,Male,Coimbatore,36,43.11,1576.64,Monthly,Credit Card,Fiber,6,2,27,Standard,9,17,Yes
C064,36,Female,Coimbatore,56,76.17,4159.82,Monthly,Bank Transfer,DSL,3,5,9,Standard,10,24,No
C065,67,Female,Chennai,21,92.0,2028.26,Yearly,Bank Transfer,None,2,3,3,Premium,3,32,Yes
C066,39,Male,Coimbatore,7,68.41,495.91,Monthly,Bank Transfer,None,1,3,27,Basic,5,21,Yes
C067,43,Male,Delhi,55,75.69,4465.44,Yearly,Bank Transfer,None,1,1,22,Basic,5,14,No
C068,45,Male,Bengaluru,29,53.45,1433.23,Monthly,Debit Card,Fiber,5,2,15,Standard,3,15,Yes
C069,54,Male,Hyderabad,12,107.73,1317.52,Monthly,Credit Card,DSL,2,1,16,Premium,5,29,No
C070,18,Female,Pune,44,32.02,1509.25,Monthly,Debit Card,None,4,3,29,Standard,5,12,Yes
C071,48,Male,Mumbai,25,79.61,2147.14,Yearly,Debit Card,Fiber,6,2,2,Premium,10,55,No
C072,65,Male,Coimbatore,54,52.19,2953.02,2-Year,Debit Card,Fiber,3,4,10,Premium,3,40,No
C073,58,Male,Pune,51,80.06,4234.86,Monthly,UPI,DSL,6,1,8,Standard,3,50,Yes
C074,41,Female,Hyderabad,17,114.7,2095.72,2-Year,Debit Card,None,1,3,4,Standard,3,48,Yes
C075,61,Female,Delhi,6,26.32,158.84,Yearly,Bank Transfer,DSL,4,4,14,Premium,6,6,Yes
C076,48,Male,Delhi,59,86.53,5215.87,Yearly,Bank Transfer,None,6,0,6,Standard,1,60,No
C077,49,Male,Bengaluru,16,37.89,601.74,2-Year,Bank Transfer,None,2,3,22,Premium,2,53,No
C078,44,Female,Chennai,45,67.12,3238.14,Monthly,Debit Card,Fiber,5,4,30,Premium,6,3,Yes
C079,30,Male,Coimbatore,6,85.96,523.78,Yearly,UPI,Fiber,3,1,27,Standard,10,13,No
C080,66,Male,Mumbai,53,56.21,2811.13,2-Year,UPI,DSL,2,4,10,Basic,3,7,No
C081,19,Male,Chennai,23,47.6,1063.93,Yearly,Credit Card,DSL,2,5,15,Basic,9,7,No
C082,48,Female,Delhi,33,67.94,2142.13,Yearly,UPI,None,8,2,16,Premium,1,3,Yes
C083,43,Female,Bengaluru,32,67.14,2285.73,Yearly,Debit Card,None,1,1,10,Basic,10,40,No
C084,63,Female,Kochi,39,68.1,2700.7,Monthly,UPI,None,8,5,29,Basic,4,27,Yes
C085,32,Female,Delhi,53,64.52,3198.02,Monthly,Bank Transfer,DSL,4,2,6,Premium,8,4,No
C086,23,Male,Kochi,7,60.4,397.78,Yearly,UPI,None,8,2,23,Premium,2,26,Yes
C087,60,Female,Chennai,19,58.41,1123.63,Yearly,Credit Card,Fiber,7,1,29,Premium,2,22,Yes
C088,41,Male,Pune,37,65.77,2457.23,Monthly,UPI,None,4,0,7,Premium,5,44,Yes
C089,39,Female,Chennai,12,78.8,930.59,2-Year,Credit Card,None,0,0,25,Premium,9,13,No
C090,47,Female,Hyderabad,24,55.82,1434.3,Monthly,UPI,Fiber,2,4,3,Basic,2,17,Yes
C091,45,Female,Coimbatore,27,96.72,2450.08,Monthly,Bank Transfer,Fiber,7,4,23,Standard,5,2,Yes
C092,56,Male,Chennai,14,45.07,594.36,Monthly,Debit Card,DSL,1,0,17,Standard,7,11,No
C093,52,Male,Delhi,5,95.49,472.58,Monthly,Bank Transfer,Fiber,6,4,14,Standard,7,18,Yes
C094,19,Female,Hyderabad,52,68.71,3681.31,2-Year,Debit Card,Fiber,1,1,15,Standard,10,25,No
C095,43,Female,Delhi,15,40.97,615.58,Monthly,UPI,None,3,2,13,Premium,3,15,No
C096,34,Male,Hyderabad,39,97.12,3530.33,Monthly,Bank Transfer,DSL,7,5,30,Premium,10,41,Yes
C097,57,Female,Delhi,10,69.55,710.12,Monthly,Debit Card,None,5,4,4,Basic,5,29,Yes
C098,21,Female,Pune,5,117.85,550.62,Yearly,Bank Transfer,DSL,8,5,30,Premium,1,28,Yes
C099,54,Male,Delhi,39,39.33,1426.35,Monthly,UPI,DSL,1,4,22,Premium,3,2,Yes
C100,46,Female,Hyderabad,24,51.87,1226.71,Monthly,Debit Card,None,0,5,22,Premium,6,4,Yes
C101,53,Female,Pune,17,87.37,1581.86,Yearly,Credit Card,DSL,2,2,11,Basic,7,8,No
C102,23,Female,Kochi,42,102.25,4411.39,Yearly,UPI,None,6,4,13,Premium,1,23,Yes
C103,31,Female,Coimbatore,13,38.07,461.43,Monthly,UPI,None,8,0,23,Premium,6,56,Yes
C104,26,Female,Hyderabad,11,90.82,1018.96,Monthly,Credit Card,None,0,3,13,Standard,4,28,Yes
C105,66,Female,Mumbai,35,116.73,4271.44,Monthly,Credit Card,DSL,7,3,26,Premium,5,49,Yes
C106,51,Female,Hyderabad,53,82.44,4630.08,Monthly,UPI,None,5,4,5,Standard,9,54,Yes
C107,23,Male,Pune,29,39.0,1119.69,2-Year,Credit Card,DSL,0,3,3,Standard,7,32,No
C108,42,Male,Delhi,15,113.43,1793.78,Monthly,Debit Card,Fiber,0,2,28,Basic,8,44,Yes
C109,66,Female,Coimbatore,40,32.53,1250.39,Monthly,Credit Card,None,8,3,5,Premium,5,15,Yes
C110,21,Male,Kochi,41,68.43,2630.94,Yearly,Bank Transfer,None,0,5,18,Premium,10,15,No
C111,36,Female,Chennai,40,79.21,3009.89,Monthly,UPI,None,1,4,19,Standard,9,50,Yes
C112,53,Male,Kochi,56,85.39,5149.88,Monthly,Debit Card,None,5,0,13,Basic,4,46,Yes
C113,24,Female,Hyderabad,3,57.16,175.4,Monthly,Bank Transfer,None,2,1,4,Standard,8,2,No
C114,20,Male,Chennai,21,73.96,1674.71,2-Year,Bank Transfer,DSL,3,2,13,Basic,1,55,No
C115,35,Male,Delhi,28,95.61,2846.12,2-Year,Bank Transfer,DSL,7,5,17,Basic,6,59,Yes
C116,35,Male,Kochi,6,119.53,680.51,Monthly,Debit Card,DSL,1,2,23,Basic,5,19,Yes
C117,63,Female,Hyderabad,45,67.48,3146.8,Monthly,Debit Card,None,4,5,27,Standard,1,4,Yes
C118,43,Female,Hyderabad,2,82.72,172.89,Monthly,UPI,Fiber,3,5,13,Basic,6,24,Yes
C119,20,Male,Coimbatore,24,97.49,2367.43,Monthly,Debit Card,DSL,4,1,5,Standard,1,47,Yes
C120,51,Female,Bengaluru,17,91.88,1490.63,Yearly,Debit Card,None,3,0,6,Standard,2,28,No
C121,63,Female,Bengaluru,52,105.32,5318.55,Yearly,Debit Card,None,8,4,11,Basic,5,54,No
C122,63,Male,Delhi,33,118.59,4096.35,Monthly,Credit Card,DSL,5,4,20,Basic,6,29,Yes
C123,53,Male,Bengaluru,5,119.96,620.8,Monthly,Bank Transfer,DSL,1,1,12,Premium,2,28,Yes
C124,51,Female,Hyderabad,57,77.37,4472.03,Yearly,Credit Card,DSL,0,0,18,Premium,3,19,No
C125,38,Male,Delhi,34,105.36,3439.3,2-Year,Debit Card,Fiber,4,4,19,Premium,2,32,Yes
C126,55,Male,Hyderabad,43,110.69,4636.01,Yearly,UPI,Fiber,0,5,26,Basic,10,16,No
C127,67,Female,Chennai,32,76.83,2514.38,2-Year,Debit Card,DSL,6,2,16,Basic,2,44,No
C128,46,Female,Coimbatore,30,82.63,2404.57,Monthly,Debit Card,None,6,1,26,Standard,6,32,Yes
C129,38,Male,Coimbatore,8,48.55,363.34,Monthly,Debit Card,DSL,6,1,29,Premium,3,52,Yes
C130,54,Female,Mumbai,49,119.62,5830.26,Monthly,Debit Card,DSL,1,3,18,Basic,8,15,Yes
C131,40,Male,Chennai,19,108.82,2118.61,Monthly,Bank Transfer,DSL,0,0,15,Premium,3,56,Yes
C132,41,Female,Delhi,3,79.18,225.93,Monthly,Debit Card,Fiber,8,3,26,Standard,9,17,Yes
C133,57,Male,Hyderabad,7,100.52,685.52,Monthly,Debit Card,Fiber,8,3,18,Basic,1,2,Yes
C134,63,Female,Coimbatore,34,82.59,2815.03,Monthly,Debit Card,None,2,3,21,Standard,5,37,Yes
C135,50,Female,Pune,31,59.99,1911.41,Yearly,Bank Transfer,None,0,4,17,Standard,5,41,Yes
C136,67,Male,Chennai,38,74.8,2942.99,Monthly,Bank Transfer,Fiber,3,0,20,Premium,2,12,No
C137,38,Female,Hyderabad,27,63.99,1803.74,Yearly,Bank Transfer,None,0,5,6,Premium,9,13,No
C138,60,Female,Kochi,21,68.67,1449.71,2-Year,Debit Card,None,4,4,17,Premium,4,15,No
C139,37,Male,Pune,50,44.69,2307.79,Monthly,Debit Card,DSL,8,5,10,Standard,5,7,Yes
C140,52,Female,Kochi,53,98.44,4922.21,Monthly,UPI,DSL,1,2,16,Premium,5,47,Yes
C141,30,Female,Pune,9,95.38,822.61,Monthly,UPI,None,3,5,9,Premium,1,6,Yes
C142,63,Female,Bengaluru,44,25.49,1130.6,Yearly,Credit Card,DSL,7,3,22,Premium,4,48,Yes
C143,38,Female,Chennai,59,86.97,4911.38,Yearly,UPI,Fiber,2,0,28,Standard,7,50,No
C144,65,Female,Chennai,1,82.26,87.9,Monthly,Debit Card,DSL,8,4,17,Standard,3,54,Yes
C145,35,Male,Bengaluru,22,68.6,1450.59,Monthly,Credit Card,Fiber,5,2,20,Premium,4,11,Yes
C146,58,Female,Kochi,33,63.08,1946.88,Monthly,Credit Card,DSL,3,0,10,Standard,7,15,No
C147,35,Female,Pune,38,26.09,1015.8,Yearly,Credit Card,Fiber,1,3,11,Premium,3,25,No
C148,63,Female,Bengaluru,41,53.03,2214.11,2-Year,Credit Card,Fiber,2,3,25,Standard,10,23,No
C149,53,Female,Mumbai,49,96.7,5021.18,Monthly,UPI,None,8,5,13,Standard,2,58,Yes
C150,21,Male,Hyderabad,11,74.43,768.46,Monthly,Credit Card,None,7,0,30,Premium,9,28,Yes
C151,47,Male,Kochi,30,78.09,2407.46,Yearly,Debit Card,None,6,2,28,Basic,1,47,No
C152,22,Male,Kochi,23,76.41,1633.78,Yearly,UPI,DSL,4,3,7,Basic,3,49,Yes
C153,64,Female,Delhi,58,107.61,6647.59,Monthly,Bank Transfer,Fiber,8,1,22,Premium,6,7,No
C154,52,Female,Hyderabad,47,104.31,5103.52,2-Year,Debit Card,DSL,8,3,19,Premium,7,52,No
C155,47,Female,Hyderabad,18,108.14,2029.21,Monthly,UPI,None,0,1,8,Standard,2,6,Yes
C156,46,Male,Mumbai,48,66.7,3221.97,Monthly,UPI,Fiber,4,1,28,Premium,10,20,No
C157,67,Female,Mumbai,20,118.64,2380.87,2-Year,Bank Transfer,DSL,0,4,20,Standard,3,40,Yes
C158,53,Female,Chennai,23,88.78,2135.32,2-Year,Debit Card,None,6,1,11,Standard,7,11,No
C159,48,Male,Mumbai,20,38.71,769.62,2-Year,UPI,None,6,4,18,Standard,3,24,No
C160,31,Female,Bengaluru,60,60.25,3635.61,Monthly,Credit Card,Fiber,6,5,21,Standard,10,2,Yes
C161,30,Male,Coimbatore,14,56.63,850.79,2-Year,UPI,Fiber,1,5,26,Basic,8,58,No
C162,56,Male,Kochi,59,55.55,3163.69,Monthly,Bank Transfer,None,5,2,10,Premium,6,32,Yes
C163,47,Male,Coimbatore,49,111.86,5367.75,Yearly,Bank Transfer,Fiber,3,5,6,Premium,1,16,Yes
C164,55,Female,Pune,10,46.85,473.73,Monthly,Credit Card,DSL,5,2,26,Premium,8,46,Yes
C165,49,Female,Hyderabad,47,41.08,1998.82,Yearly,Bank Transfer,Fiber,0,4,3,Premium,2,60,Yes
C166,21,Male,Kochi,9,46.99,436.93,Yearly,UPI,Fiber,7,2,3,Premium,10,40,Yes
C167,57,Female,Coimbatore,2,77.41,142.73,Monthly,Debit Card,None,0,4,28,Standard,7,51,Yes
C168,29,Male,Bengaluru,34,43.23,1476.04,Monthly,Debit Card,DSL,1,2,14,Standard,8,36,No
C169,62,Male,Pune,44,32.66,1550.09,Yearly,UPI,Fiber,6,3,19,Standard,8,3,No
C170,62,Male,Bengaluru,32,86.27,2686.11,Yearly,UPI,None,3,1,30,Basic,10,30,No
C171,22,Female,Chennai,12,54.88,707.18,2-Year,Credit Card,None,1,2,7,Standard,10,15,No
C172,42,Female,Kochi,49,100.1,5053.47,Yearly,UPI,None,5,0,5,Premium,7,14,No
C173,39,Female,Delhi,2,99.44,197.31,Yearly,Credit Card,DSL,6,3,7,Premium,10,42,Yes
C174,67,Female,Mumbai,46,50.46,2276.59,Monthly,Credit Card,None,5,2,5,Standard,2,0,Yes
C175,46,Female,Pune,7,42.8,297.15,Monthly,Bank Transfer,Fiber,1,2,19,Basic,2,38,Yes
C176,38,Female,Chennai,19,99.02,1949.06,Monthly,Credit Card,None,2,5,14,Premium,3,8,Yes
C177,35,Female,Hyderabad,5,51.22,247.89,Monthly,UPI,DSL,3,5,22,Standard,8,38,Yes
C178,47,Male,Hyderabad,20,62.59,1320.22,Monthly,Bank Transfer,DSL,5,3,28,Standard,10,8,Yes
C179,56,Male,Coimbatore,21,62.83,1281.25,Monthly,Bank Transfer,None,5,3,10,Basic,7,23,Yes
C180,54,Male,Hyderabad,44,27.56,1256.72,Yearly,Credit Card,DSL,1,3,23,Standard,8,8,No
C181,33,Female,Hyderabad,46,60.81,2774.46,Monthly,Bank Transfer,None,8,4,29,Standard,7,34,Yes
C182,41,Male,Bengaluru,50,88.15,4172.2,Monthly,UPI,None,6,2,27,Premium,7,6,No
C183,34,Male,Mumbai,29,68.99,2058.19,Monthly,Credit Card,DSL,7,0,11,Basic,7,58,Yes
C184,25,Male,Delhi,20,99.51,1996.92,Monthly,Debit Card,DSL,7,5,24,Basic,8,20,Yes
C185,20,Male,Chennai,55,35.39,2039.9,Monthly,Credit Card,None,8,1,12,Basic,9,27,Yes
C186,32,Female,Hyderabad,12,66.05,732.89,Yearly,Credit Card,DSL,6,3,2,Premium,4,13,Yes
C187,63,Male,Bengaluru,52,42.76,2161.61,2-Year,Bank Transfer,Fiber,7,4,22,Standard,6,38,No
C188,43,Male,Delhi,23,83.65,2020.53,Yearly,Debit Card,None,1,5,6,Premium,6,7,No
C189,25,Male,Delhi,45,61.9,2828.48,Monthly,Bank Transfer,DSL,7,5,19,Basic,3,35,Yes
C190,36,Male,Hyderabad,21,83.84,1863.61,Yearly,UPI,DSL,3,3,19,Basic,9,41,Yes
C191,61,Female,Kochi,46,71.43,3066.38,Yearly,UPI,Fiber,0,2,9,Standard,9,18,No
C192,47,Female,Bengaluru,37,98.64,3838.46,Monthly,Debit Card,None,7,4,8,Basic,7,6,Yes
C193,59,Male,Pune,56,67.72,3700.44,2-Year,UPI,DSL,3,1,27,Basic,10,44,No
C194,63,Female,Hyderabad,40,44.63,1701.49,Monthly,UPI,None,8,2,21,Standard,9,10,No
C195,63,Female,Pune,37,106.51,4246.99,Monthly,UPI,Fiber,0,2,29,Standard,3,44,Yes
C196,33,Male,Delhi,54,105.14,5580.09,Monthly,Credit Card,None,4,5,15,Premium,7,28,No
C197,68,Male,Kochi,33,91.0,3184.29,Yearly,Bank Transfer,DSL,0,5,4,Standard,8,40,Yes
C198,40,Male,Kochi,14,103.36,1445.82,2-Year,Debit Card,DSL,8,4,6,Standard,10,54,Yes
C199,39,Male,Chennai,7,104.49,674.82,Yearly,Credit Card,DSL,0,3,8,Standard,3,56,Yes
C200,28,Female,Bengaluru,42,32.83,1415.15,Monthly,Credit Card,Fiber,4,5,24,Standard,4,27,Yes
C201,63,Male,Chennai,14,37.61,503.47,Monthly,Bank Transfer,Fiber,5,0,29,Basic,7,44,Yes
C202,22,Male,Kochi,6,34.73,202.16,Yearly,Debit Card,Fiber,2,5,23,Standard,3,4,Yes
C203,18,Male,Coimbatore,23,84.67,1838.78,Yearly,Bank Transfer,None,7,1,4,Premium,2,8,Yes
C204,55,Female,Delhi,28,38.28,1033.59,Monthly,UPI,Fiber,4,5,2,Premium,5,13,Yes
C205,50,Male,Kochi,19,99.46,1978.57,Yearly,Credit Card,DSL,1,1,17,Standard,10,4,No
C206,18,Female,Delhi,9,104.7,930.37,Monthly,Credit Card,DSL,0,4,4,Basic,1,16,Yes
C207,21,Female,Pune,41,97.88,3964.01,Yearly,Bank Transfer,Fiber,8,4,21,Premium,3,17,Yes
C208,23,Male,Hyderabad,35,80.71,2943.82,Monthly,UPI,DSL,6,5,29,Premium,4,3,Yes
C209,45,Male,Coimbatore,40,54.38,2259.32,Yearly,Credit Card,Fiber,2,5,2,Basic,3,31,Yes
C210,51,Female,Hyderabad,24,99.21,2292.95,Monthly,UPI,Fiber,6,2,18,Standard,2,16,Yes
C211,54,Male,Coimbatore,30,30.27,960.31,Monthly,Credit Card,DSL,4,0,30,Basic,10,43,Yes
C212,32,Male,Chennai,55,48.23,2640.67,2-Year,Bank Transfer,Fiber,0,4,27,Basic,7,14,No
C213,44,Female,Pune,53,60.42,3203.31,Monthly,UPI,Fiber,8,0,14,Basic,2,56,Yes
C214,36,Female,Delhi,6,25.76,147.16,Yearly,Debit Card,None,3,3,13,Premium,10,31,Yes
C215,67,Male,Mumbai,10,63.95,612.18,Monthly,Debit Card,None,0,2,2,Premium,7,54,Yes
C216,37,Male,Mumbai,34,64.88,2368.69,2-Year,Credit Card,None,1,0,9,Standard,9,26,No
C217,41,Female,Bengaluru,38,37.68,1505.14,Monthly,UPI,None,0,3,23,Premium,3,15,Yes
C218,38,Female,Delhi,21,47.19,1061.32,Monthly,Credit Card,None,2,0,7,Basic,8,29,No
C219,25,Female,Mumbai,29,50.18,1366.72,Monthly,Credit Card,None,0,1,28,Standard,6,9,No
C220,33,Female,Kochi,33,53.39,1852.1,Monthly,Credit Card,Fiber,7,4,25,Standard,9,15,Yes
C221,24,Male,Bengaluru,1,99.19,94.78,Monthly,Credit Card,DSL,1,4,20,Standard,5,58,Yes
C222,19,Male,Mumbai,58,101.88,5523.28,Yearly,Debit Card,Fiber,7,0,7,Basic,10,27,No
C223,43,Female,Chennai,25,41.42,988.23,Yearly,Credit Card,DSL,7,1,3,Standard,10,39,No
C224,59,Female,Coimbatore,27,70.51,1778.19,2-Year,Bank Transfer,Fiber,3,5,30,Standard,9,15,No
C225,69,Male,Kochi,51,70.57,3761.13,Yearly,Debit Card,None,5,3,10,Premium,3,1,No
C226,32,Male,Pune,4,69.81,272.87,Yearly,Credit Card,Fiber,3,5,9,Basic,5,34,Yes
C227,65,Male,Mumbai,37,100.75,3641.15,Yearly,Credit Card,Fiber,5,5,24,Basic,6,58,Yes
C228,63,Female,Hyderabad,37,104.49,4058.14,2-Year,Bank Transfer,None,2,3,3,Standard,2,3,No
C229,32,Male,Coimbatore,1,83.34,87.43,Monthly,Debit Card,None,5,0,2,Basic,3,37,Yes
C230,27,Male,Delhi,5,114.48,562.84,Monthly,UPI,DSL,5,1,7,Standard,7,50,Yes
C231,49,Female,Hyderabad,46,90.89,4467.82,2-Year,Debit Card,Fiber,2,3,11,Premium,5,8,No
C232,18,Female,Chennai,12,112.5,1450.99,Yearly,Credit Card,None,1,3,6,Premium,6,47,No
C233,40,Female,Hyderabad,41,33.43,1416.46,2-Year,Debit Card,DSL,4,1,9,Basic,2,22,No
C234,24,Male,Chennai,25,64.87,1535.17,Monthly,Bank Transfer,DSL,5,4,14,Standard,2,53,Yes
C235,54,Male,Hyderabad,29,105.35,2954.9,Monthly,Debit Card,DSL,1,2,7,Basic,7,10,Yes
C236,53,Male,Delhi,39,109.86,4424.73,2-Year,Bank Transfer,None,6,1,3,Basic,2,21,No
C237,30,Female,Pune,43,47.57,1898.11,Monthly,Bank Transfer,Fiber,5,0,15,Basic,2,18,Yes
C238,58,Female,Mumbai,7,41.23,279.0,Monthly,UPI,DSL,4,3,17,Basic,8,57,Yes
C239,23,Female,Hyderabad,24,60.09,1429.65,2-Year,Debit Card,DSL,4,1,28,Standard,5,36,No
C240,66,Male,Bengaluru,43,76.44,3534.47,Monthly,Credit Card,None,6,4,15,Basic,9,43,Yes
C241,48,Male,Coimbatore,20,110.76,2291.16,Monthly,Credit Card,Fiber,2,1,8,Standard,4,8,Yes
C242,23,Female,Mumbai,53,104.24,5310.7,Yearly,UPI,Fiber,8,3,19,Standard,6,54,Yes
C243,47,Male,Kochi,8,39.08,317.04,Monthly,UPI,Fiber,1,2,29,Premium,9,56,Yes
C244,44,Female,Kochi,42,82.85,3222.18,Monthly,Debit Card,DSL,6,0,14,Basic,6,44,Yes
C245,65,Female,Pune,58,57.1,3467.4,Monthly,Debit Card,DSL,1,1,6,Standard,5,47,No
