customer_id,age,gender,city,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,support_calls,complaints,login_frequency,subscription_type,satisfaction_score,inactive_days,churn,tenure_years,calculated_monthly_charge,support_complaint_ratio,churn_encoded
C012,34,Female,Mumbai,60,94.34,5389.74,Monthly,Debit Card,DSL,5,3,30,Premium,9,28,Yes,5.0,89.829,0.6,1
C013,32,Male,Delhi,2,46.86,89.52,Yearly,UPI,No Internet,0,1,4,Premium,1,55,Yes,0.16666666666666666,44.76,1.0,1
C014,50,Male,Pune,43,76.23,3395.03,Monthly,Bank Transfer,Fiber,6,1,5,Standard,2,42,Yes,3.5833333333333335,78.95418604651164,0.16666666666666666,1
C015,45,Female,Coimbatore,56,88.97,5368.28,Yearly,UPI,Fiber,5,0,9,Standard,4,12,No,4.666666666666667,95.86214285714286,0.0,0
C016,26,Female,Hyderabad,18,108.08,1813.27,Monthly,UPI,Fiber,8,0,4,Premium,4,10,Yes,1.5,100.73722222222221,0.0,1
C017,48,Male,Kochi,58,61.0,3812.72,Monthly,Debit Card,DSL,6,5,25,Standard,9,42,Yes,4.833333333333333,65.73655172413793,0.8333333333333334,1
C018,27,Male,Pune,14,80.02,1127.84,2-Year,Debit Card,Fiber,7,4,29,Basic,9,10,No,1.1666666666666667,80.55999999999999,0.5714285714285714,0
C019,50,Male,Hyderabad,5,89.15,426.86,Yearly,UPI,No Internet,0,4,4,Basic,7,42,Yes,0.4166666666666667,85.372,4.0,1
C020,51,Female,Pune,14,54.85,739.1,Yearly,Credit Card,No Internet,4,3,12,Premium,2,0,No,1.1666666666666667,52.792857142857144,0.75,0
C021,54,Male,Bengaluru,35,50.19,1878.42,Monthly,UPI,Fiber,4,1,16,Standard,9,45,No,2.9166666666666665,53.66914285714286,0.25,0
C022,69,Male,Pune,60,114.2,6451.07,Yearly,UPI,Fiber,8,1,10,Premium,5,38,No,5.0,107.51783333333333,0.125,0
C023,39,Male,Pune,33,111.01,3866.19,Monthly,UPI,No Internet,4,0,2,Standard,6,49,Yes,2.75,117.15727272727273,0.0,1
C024,34,Male,Coimbatore,36,78.29,2643.41,Yearly,Credit Card,No Internet,5,4,19,Basic,3,27,No,3.0,73.42805555555555,0.8,0
C025,37,Female,Chennai,58,89.8,5347.51,Monthly,Debit Card,No Internet,2,1,29,Standard,3,51,Yes,4.833333333333333,92.19844827586208,0.5,1
C026,44,Male,Hyderabad,48,99.33,4700.49,2-Year,Credit Card,DSL,1,3,29,Basic,1,54,No,4.0,97.926875,3.0,0
C027,30,Female,Delhi,20,107.78,2060.04,Yearly,Credit Card,DSL,4,0,26,Standard,5,22,No,1.6666666666666667,103.002,0.0,0
C028,43,Female,Chennai,8,49.82,403.7,2-Year,Debit Card,Fiber,6,2,25,Basic,6,27,No,0.6666666666666666,50.4625,0.3333333333333333,0
C029,50,Male,Kochi,58,49.2,2948.93,Yearly,UPI,No Internet,3,2,15,Premium,2,60,No,4.833333333333333,50.84362068965517,0.6666666666666666,0
C030,39,Female,Bengaluru,47,73.18,3531.3,2-Year,Debit Card,DSL,4,4,6,Premium,4,26,No,3.9166666666666665,75.13404255319149,1.0,0
C031,42,Male,Pune,26,25.04,628.84,Monthly,Bank Transfer,No Internet,5,3,16,Premium,8,43,Yes,2.1666666666666665,24.186153846153847,0.6,1
C032,48,Male,Bengaluru,19,85.13,1574.82,Monthly,Credit Card,No Internet,3,1,6,Standard,1,2,Yes,1.5833333333333333,82.88526315789473,0.3333333333333333,1
C033,48,Male,Coimbatore,27,79.69,2226.8,2-Year,Bank Transfer,DSL,3,1,22,Standard,1,57,No,2.25,82.47407407407408,0.3333333333333333,0
C034,67,Male,Kochi,15,116.01,1745.15,Monthly,UPI,No Internet,1,3,6,Basic,8,42,Yes,1.25,116.34333333333333,3.0,1
C035,53,Female,Coimbatore,40,109.74,4338.15,Yearly,Bank Transfer,Fiber,7,3,10,Premium,4,53,Yes,3.3333333333333335,108.45374999999999,0.42857142857142855,1
C036,67,Female,Mumbai,18,92.79,1599.27,Monthly,Debit Card,DSL,1,1,6,Premium,4,24,Yes,1.5,88.84833333333333,1.0,1
C037,63,Male,Bengaluru,27,76.55,2039.0,Monthly,Credit Card,DSL,0,4,14,Standard,8,0,Yes,2.25,75.51851851851852,4.0,1
C038,37,Female,Kochi,35,76.88,2735.25,Yearly,Credit Card,DSL,4,3,17,Basic,1,24,No,2.9166666666666665,78.15,0.75,0
C039,61,Female,Hyderabad,54,37.12,2043.69,Monthly,UPI,DSL,0,0,22,Premium,7,8,No,4.5,37.846111111111114,0.0,0
C040,29,Male,Pune,25,68.2,1660.67,Monthly,Bank Transfer,DSL,4,0,17,Standard,1,47,Yes,2.0833333333333335,66.4268,0.0,1
C041,40,Male,Bengaluru,50,28.82,1332.87,2-Year,Credit Card,Fiber,2,1,6,Basic,8,42,No,4.166666666666667,26.6574,0.5,0
C042,31,Female,Pune,50,82.56,4434.29,Monthly,UPI,Fiber,1,4,2,Standard,5,36,Yes,4.166666666666667,88.6858,4.0,1
C043,42,Female,Mumbai,5,103.9,498.13,Yearly,Debit Card,No Internet,1,4,27,Premium,1,22,Yes,0.4166666666666667,99.626,4.0,1
C044,60,Female,Bengaluru,33,26.2,853.54,Yearly,Bank Transfer,Fiber,5,5,30,Standard,8,45,No,2.75,25.864848484848483,1.0,0
C045,29,Female,Coimbatore,30,94.45,2728.5,Monthly,Credit Card,Fiber,7,1,26,Standard,8,36,Yes,2.5,90.95,0.14285714285714285,1
C046,42,Female,Chennai,32,42.27,1290.34,2-Year,Debit Card,DSL,4,4,2,Standard,9,60,No,2.6666666666666665,40.323125,1.0,0
C047,33,Female,Coimbatore,36,90.61,3338.11,Yearly,Bank Transfer,DSL,1,2,9,Basic,7,44,No,3.0,92.72527777777778,2.0,0
C048,60,Female,Coimbatore,36,65.42,2447.79,Monthly,Debit Card,DSL,7,2,11,Premium,5,14,No,3.0,67.99416666666667,0.2857142857142857,0
C049,30,Female,Bengaluru,48,97.41,4440.14,Monthly,Credit Card,No Internet,4,5,20,Standard,9,38,Yes,4.0,92.50291666666668,1.25,1
C050,24,Male,Pune,15,53.72,832.62,Monthly,Credit Card,DSL,0,4,11,Basic,3,40,Yes,1.25,55.508,4.0,1
C051,49,Male,Chennai,37,70.48,2541.3,Monthly,UPI,DSL,1,0,14,Standard,8,4,No,3.0833333333333335,68.6837837837838,0.0,0
C052,61,Male,Hyderabad,10,115.17,1075.26,Yearly,Credit Card,Fiber,6,4,21,Premium,10,14,Yes,0.8333333333333334,107.526,0.6666666666666666,1
C053,42,Female,Coimbatore,20,119.05,2306.86,2-Year,UPI,No Internet,1,1,22,Premium,4,16,No,1.6666666666666667,115.343,1.0,0
C054,28,Male,Hyderabad,36,25.25,901.8,Monthly,Bank Transfer,DSL,3,2,24,Basic,5,44,Yes,3.0,25.049999999999997,0.6666666666666666,1
C055,22,Male,Pune,51,81.03,4333.47,Yearly,Credit Card,DSL,8,1,22,Basic,3,58,Yes,4.25,84.97,0.125,1
C056,27,Male,Chennai,11,81.53,943.36,Yearly,Debit Card,DSL,7,5,11,Basic,7,60,Yes,0.9166666666666666,85.76,0.7142857142857143,1
C057,52,Female,Coimbatore,6,109.5,681.65,Yearly,Debit Card,Fiber,3,5,28,Basic,10,37,Yes,0.5,113.60833333333333,1.6666666666666667,1
C058,66,Female,Chennai,49,69.7,3498.09,Yearly,Debit Card,Fiber,6,5,28,Premium,8,5,No,4.083333333333333,71.3895918367347,0.8333333333333334,0
C059,44,Female,Delhi,43,40.28,1707.55,Monthly,Bank Transfer,DSL,6,4,3,Premium,8,5,Yes,3.5833333333333335,39.71046511627907,0.6666666666666666,1
C060,38,Male,Kochi,56,118.87,6824.64,Monthly,Bank Transfer,DSL,3,4,13,Basic,10,48,Yes,4.666666666666667,121.86857142857143,1.3333333333333333,1
C061,46,Male,Mumbai,18,113.13,2016.18,Monthly,Bank Transfer,Fiber,3,5,7,Basic,5,35,Yes,1.5,112.01,1.6666666666666667,1
C062,44,Male,Mumbai,54,68.84,3489.84,2-Year,Credit Card,DSL,4,4,24,Premium,5,26,No,4.5,64.62666666666667,1.0,0
C063,48,Male,Coimbatore,36,43.11,1576.64,Monthly,Credit Card,Fiber,6,2,27,Standard,9,17,Yes,3.0,43.79555555555556,0.3333333333333333,1
C064,36,Female,Coimbatore,56,76.17,4159.82,Monthly,Bank Transfer,DSL,3,5,9,Standard,10,24,No,4.666666666666667,74.2825,1.6666666666666667,0
C065,67,Female,Chennai,21,92.0,2028.26,Yearly,Bank Transfer,No Internet,2,3,3,Premium,3,32,Yes,1.75,96.58380952380952,1.5,1
C066,39,Male,Coimbatore,7,68.41,495.91,Monthly,Bank Transfer,No Internet,1,3,27,Basic,5,21,Yes,0.5833333333333334,70.84428571428572,3.0,1
C067,43,Male,Delhi,55,75.69,4465.44,Yearly,Bank Transfer,No Internet,1,1,22,Basic,5,14,No,4.583333333333333,81.18981818181817,1.0,0
C068,45,Male,Bengaluru,29,53.45,1433.23,Monthly,Debit Card,Fiber,5,2,15,Standard,3,15,Yes,2.4166666666666665,49.42172413793104,0.4,1
C069,54,Male,Hyderabad,12,107.73,1317.52,Monthly,Credit Card,DSL,2,1,16,Premium,5,29,No,1.0,109.79333333333334,0.5,0
C070,18,Female,Pune,44,32.02,1509.25,Monthly,Debit Card,No Internet,4,3,29,Standard,5,12,Yes,3.6666666666666665,34.30113636363637,0.75,1
C071,48,Male,Mumbai,25,79.61,2147.14,Yearly,Debit Card,Fiber,6,2,2,Premium,10,55,No,2.0833333333333335,85.8856,0.3333333333333333,0
C072,65,Male,Coimbatore,54,52.19,2953.02,2-Year,Debit Card,Fiber,3,4,10,Premium,3,40,No,4.5,54.68555555555555,1.3333333333333333,0
C073,58,Male,Pune,51,80.06,4234.86,Monthly,UPI,DSL,6,1,8,Standard,3,50,Yes,4.25,83.03647058823529,0.16666666666666666,1
C074,41,Female,Hyderabad,17,114.7,2095.72,2-Year,Debit Card,No Internet,1,3,4,Standard,3,48,Yes,1.4166666666666667,123.27764705882352,3.0,1
C075,61,Female,Delhi,6,26.32,158.84,Yearly,Bank Transfer,DSL,4,4,14,Premium,6,6,Yes,0.5,26.473333333333333,1.0,1
C076,48,Male,Delhi,59,86.53,5215.87,Yearly,Bank Transfer,No Internet,6,0,6,Standard,1,60,No,4.916666666666667,88.40457627118644,0.0,0
C077,49,Male,Bengaluru,16,37.89,601.74,2-Year,Bank Transfer,No Internet,2,3,22,Premium,2,53,No,1.3333333333333333,37.60875,1.5,0
C078,44,Female,Chennai,45,67.12,3238.14,Monthly,Debit Card,Fiber,5,4,30,Premium,6,3,Yes,3.75,71.95866666666666,0.8,1
C079,30,Male,Coimbatore,6,85.96,523.78,Yearly,UPI,Fiber,3,1,27,Standard,10,13,No,0.5,87.29666666666667,0.3333333333333333,0
C080,66,Male,Mumbai,53,56.21,2811.13,2-Year,UPI,DSL,2,4,10,Basic,3,7,No,4.416666666666667,53.04018867924528,2.0,0
C081,19,Male,Chennai,23,47.6,1063.93,Yearly,Credit Card,DSL,2,5,15,Basic,9,7,No,1.9166666666666667,46.25782608695653,2.5,0
C082,48,Female,Delhi,33,67.94,2142.13,Yearly,UPI,No Internet,8,2,16,Premium,1,3,Yes,2.75,64.91303030303031,0.25,1
C083,43,Female,Bengaluru,32,67.14,2285.73,Yearly,Debit Card,No Internet,1,1,10,Basic,10,40,No,2.6666666666666665,71.4290625,1.0,0
C084,63,Female,Kochi,39,68.1,2700.7,Monthly,UPI,No Internet,8,5,29,Basic,4,27,Yes,3.25,69.24871794871794,0.625,1
C085,32,Female,Delhi,53,64.52,3198.02,Monthly,Bank Transfer,DSL,4,2,6,Premium,8,4,No,4.416666666666667,60.339999999999996,0.5,0
C086,23,Male,Kochi,7,60.4,397.78,Yearly,UPI,No Internet,8,2,23,Premium,2,26,Yes,0.5833333333333334,56.825714285714284,0.25,1
C087,60,Female,Chennai,19,58.41,1123.63,Yearly,Credit Card,Fiber,7,1,29,Premium,2,22,Yes,1.5833333333333333,59.138421052631585,0.14285714285714285,1
C088,41,Male,Pune,37,65.77,2457.23,Monthly,UPI,No Internet,4,0,7,Premium,5,44,Yes,3.0833333333333335,66.41162162162162,0.0,1
C089,39,Female,Chennai,12,78.8,930.59,2-Year,Credit Card,No Internet,0,0,25,Premium,9,13,No,1.0,77.54916666666666,0.0,0
C090,47,Female,Hyderabad,24,55.82,1434.3,Monthly,UPI,Fiber,2,4,3,Basic,2,17,Yes,2.0,59.762499999999996,2.0,1
C091,45,Female,Coimbatore,27,96.72,2450.08,Monthly,Bank Transfer,Fiber,7,4,23,Standard,5,2,Yes,2.25,90.7437037037037,0.5714285714285714,1
C092,56,Male,Chennai,14,45.07,594.36,Monthly,Debit Card,DSL,1,0,17,Standard,7,11,No,1.1666666666666667,42.45428571428572,0.0,0
C093,52,Male,Delhi,5,95.49,472.58,Monthly,Bank Transfer,Fiber,6,4,14,Standard,7,18,Yes,0.4166666666666667,94.51599999999999,0.6666666666666666,1
C094,19,Female,Hyderabad,52,68.71,3681.31,2-Year,Debit Card,Fiber,1,1,15,Standard,10,25,No,4.333333333333333,70.79442307692308,1.0,0
C095,43,Female,Delhi,15,40.97,615.58,Monthly,UPI,No Internet,3,2,13,Premium,3,15,No,1.25,41.03866666666667,0.6666666666666666,0
C096,34,Male,Hyderabad,39,97.12,3530.33,Monthly,Bank Transfer,DSL,7,5,30,Premium,10,41,Yes,3.25,90.52128205128204,0.7142857142857143,1
C097,57,Female,Delhi,10,69.55,710.12,Monthly,Debit Card,No Internet,5,4,4,Basic,5,29,Yes,0.8333333333333334,71.012,0.8,1
C098,21,Female,Pune,5,117.85,550.62,Yearly,Bank Transfer,DSL,8,5,30,Premium,1,28,Yes,0.4166666666666667,110.124,0.625,1
C099,54,Male,Delhi,39,39.33,1426.35,Monthly,UPI,DSL,1,4,22,Premium,3,2,Yes,3.25,36.57307692307692,4.0,1
C100,46,Female,Hyderabad,24,51.87,1226.71,Monthly,Debit Card,No Internet,0,5,22,Premium,6,4,Yes,2.0,51.11291666666667,5.0,1
C101,53,Female,Pune,17,87.37,1581.86,Yearly,Credit Card,DSL,2,2,11,Basic,7,8,No,1.4166666666666667,93.05058823529411,1.0,0
C102,23,Female,Kochi,42,102.25,4411.39,Yearly,UPI,No Internet,6,4,13,Premium,1,23,Yes,3.5,105.03309523809524,0.6666666666666666,1
C103,31,Female,Coimbatore,13,38.07,461.43,Monthly,UPI,No Internet,8,0,23,Premium,6,56,Yes,1.0833333333333333,35.494615384615386,0.0,1
C104,26,Female,Hyderabad,11,90.82,1018.96,Monthly,Credit Card,No Internet,0,3,13,Standard,4,28,Yes,0.9166666666666666,92.63272727272728,3.0,1
C105,66,Female,Mumbai,35,116.73,4271.44,Monthly,Credit Card,DSL,7,3,26,Premium,5,49,Yes,2.9166666666666665,122.04114285714284,0.42857142857142855,1
C106,51,Female,Hyderabad,53,82.44,4630.08,Monthly,UPI,No Internet,5,4,5,Standard,9,54,Yes,4.416666666666667,87.36,0.8,1
C107,23,Male,Pune,29,39.0,1119.69,2-Year,Credit Card,DSL,0,3,3,Standard,7,32,No,2.4166666666666665,38.61,3.0,0
C108,42,Male,Delhi,15,113.43,1793.78,Monthly,Debit Card,Fiber,0,2,28,Basic,8,44,Yes,1.25,119.58533333333334,2.0,1
C109,66,Female,Coimbatore,40,32.53,1250.39,Monthly,Credit Card,No Internet,8,3,5,Premium,5,15,Yes,3.3333333333333335,31.259750000000004,0.375,1
C110,21,Male,Kochi,41,68.43,2630.94,Yearly,Bank Transfer,No Internet,0,5,18,Premium,10,15,No,3.4166666666666665,64.16926829268293,5.0,0
C111,36,Female,Chennai,40,79.21,3009.89,Monthly,UPI,No Internet,1,4,19,Standard,9,50,Yes,3.3333333333333335,75.24725,4.0,1
C112,53,Male,Kochi,56,85.39,5149.88,Monthly,Debit Card,No Internet,5,0,13,Basic,4,46,Yes,4.666666666666667,91.96214285714287,0.0,1
C113,24,Female,Hyderabad,3,57.16,175.4,Monthly,Bank Transfer,No Internet,2,1,4,Standard,8,2,No,0.25,58.46666666666667,0.5,0
C114,20,Male,Chennai,21,73.96,1674.71,2-Year,Bank Transfer,DSL,3,2,13,Basic,1,55,No,1.75,79.74809523809525,0.6666666666666666,0
C115,35,Male,Delhi,28,95.61,2846.12,2-Year,Bank Transfer,DSL,7,5,17,Basic,6,59,Yes,2.3333333333333335,101.64714285714285,0.7142857142857143,1
C116,35,Male,Kochi,6,119.53,680.51,Monthly,Debit Card,DSL,1,2,23,Basic,5,19,Yes,0.5,113.41833333333334,2.0,1
C117,63,Female,Hyderabad,45,67.48,3146.8,Monthly,Debit Card,No Internet,4,5,27,Standard,1,4,Yes,3.75,69.92888888888889,1.25,1
C118,43,Female,Hyderabad,2,82.72,172.89,Monthly,UPI,Fiber,3,5,13,Basic,6,24,Yes,0.16666666666666666,86.445,1.6666666666666667,1
C119,20,Male,Coimbatore,24,97.49,2367.43,Monthly,Debit Card,DSL,4,1,5,Standard,1,47,Yes,2.0,98.64291666666666,0.25,1
C120,51,Female,Bengaluru,17,91.88,1490.63,Yearly,Debit Card,No Internet,3,0,6,Standard,2,28,No,1.4166666666666667,87.68411764705883,0.0,0
C121,63,Female,Bengaluru,52,105.32,5318.55,Yearly,Debit Card,No Internet,8,4,11,Basic,5,54,No,4.333333333333333,102.2798076923077,0.5,0
C122,63,Male,Delhi,33,118.59,4096.35,Monthly,Credit Card,DSL,5,4,20,Basic,6,29,Yes,2.75,124.13181818181819,0.8,1
C123,53,Male,Bengaluru,5,119.96,620.8,Monthly,Bank Transfer,DSL,1,1,12,Premium,2,28,Yes,0.4166666666666667,124.16,1.0,1
C124,51,Female,Hyderabad,57,77.37,4472.03,Yearly,Credit Card,DSL,0,0,18,Premium,3,19,No,4.75,78.45666666666666,0.0,0
C125,38,Male,Delhi,34,105.36,3439.3,2-Year,Debit Card,Fiber,4,4,19,Premium,2,32,Yes,2.8333333333333335,101.15588235294118,1.0,1
C126,55,Male,Hyderabad,43,110.69,4636.01,Yearly,UPI,Fiber,0,5,26,Basic,10,16,No,3.5833333333333335,107.81418604651164,5.0,0
C127,67,Female,Chennai,32,76.83,2514.38,2-Year,Debit Card,DSL,6,2,16,Basic,2,44,No,2.6666666666666665,78.574375,0.3333333333333333,0
C128,46,Female,Coimbatore,30,82.63,2404.57,Monthly,Debit Card,No Internet,6,1,26,Standard,6,32,Yes,2.5,80.15233333333335,0.16666666666666666,1
C129,38,Male,Coimbatore,8,48.55,363.34,Monthly,Debit Card,DSL,6,1,29,Premium,3,52,Yes,0.6666666666666666,45.4175,0.16666666666666666,1
C130,54,Female,Mumbai,49,119.62,5830.26,Monthly,Debit Card,DSL,1,3,18,Basic,8,15,Yes,4.083333333333333,118.98489795918368,3.0,1
C131,40,Male,Chennai,19,108.82,2118.61,Monthly,Bank Transfer,DSL,0,0,15,Premium,3,56,Yes,1.5833333333333333,111.50578947368422,0.0,1
C132,41,Female,Delhi,3,79.18,225.93,Monthly,Debit Card,Fiber,8,3,26,Standard,9,17,Yes,0.25,75.31,0.375,1
C133,57,Male,Hyderabad,7,100.52,685.52,Monthly,Debit Card,Fiber,8,3,18,Basic,1,2,Yes,0.5833333333333334,97.93142857142857,0.375,1
C134,63,Female,Coimbatore,34,82.59,2815.03,Monthly,Debit Card,No Internet,2,3,21,Standard,5,37,Yes,2.8333333333333335,82.795,1.5,1
C135,50,Female,Pune,31,59.99,1911.41,Yearly,Bank Transfer,No Internet,0,4,17,Standard,5,41,Yes,2.5833333333333335,61.6583870967742,4.0,1
C136,67,Male,Chennai,38,74.8,2942.99,Monthly,Bank Transfer,Fiber,3,0,20,Premium,2,12,No,3.1666666666666665,77.4471052631579,0.0,0
C137,38,Female,Hyderabad,27,63.99,1803.74,Yearly,Bank Transfer,No Internet,0,5,6,Premium,9,13,No,2.25,66.80518518518518,5.0,0
C138,60,Female,Kochi,21,68.67,1449.71,2-Year,Debit Card,No Internet,4,4,17,Premium,4,15,No,1.75,69.03380952380952,1.0,0
C139,37,Male,Pune,50,44.69,2307.79,Monthly,Debit Card,DSL,8,5,10,Standard,5,7,Yes,4.166666666666667,46.1558,0.625,1
C140,52,Female,Kochi,53,98.44,4922.21,Monthly,UPI,DSL,1,2,16,Premium,5,47,Yes,4.416666666666667,92.87188679245283,2.0,1
C141,30,Female,Pune,9,95.38,822.61,Monthly,UPI,No Internet,3,5,9,Premium,1,6,Yes,0.75,91.4011111111111,1.6666666666666667,1
C142,63,Female,Bengaluru,44,25.49,1130.6,Yearly,Credit Card,DSL,7,3,22,Premium,4,48,Yes,3.6666666666666665,25.69545454545454,0.42857142857142855,1
C143,38,Female,Chennai,59,86.97,4911.38,Yearly,UPI,Fiber,2,0,28,Standard,7,50,No,4.916666666666667,83.24372881355933,0.0,0
C144,65,Female,Chennai,1,82.26,87.9,Monthly,Debit Card,DSL,8,4,17,Standard,3,54,Yes,0.08333333333333333,87.9,0.5,1
C145,35,Male,Bengaluru,22,68.6,1450.59,Monthly,Credit Card,Fiber,5,2,20,Premium,4,11,Yes,1.8333333333333333,65.93590909090909,0.4,1
C146,58,Female,Kochi,33,63.08,1946.88,Monthly,Credit Card,DSL,3,0,10,Standard,7,15,No,2.75,58.99636363636364,0.0,0
C147,35,Female,Pune,38,26.09,1015.8,Yearly,Credit Card,Fiber,1,3,11,Premium,3,25,No,3.1666666666666665,26.73157894736842,3.0,0
C148,63,Female,Bengaluru,41,53.03,2214.11,2-Year,Credit Card,Fiber,2,3,25,Standard,10,23,No,3.4166666666666665,54.00268292682927,1.5,0
C149,53,Female,Mumbai,49,96.7,5021.18,Monthly,UPI,No Internet,8,5,13,Standard,2,58,Yes,4.083333333333333,102.4730612244898,0.625,1
C150,21,Male,Hyderabad,11,74.43,768.46,Monthly,Credit Card,No Internet,7,0,30,Premium,9,28,Yes,0.9166666666666666,69.86,0.0,1
C151,47,Male,Kochi,30,78.09,2407.46,Yearly,Debit Card,No Internet,6,2,28,Basic,1,47,No,2.5,80.24866666666667,0.3333333333333333,0
C152,22,Male,Kochi,23,76.41,1633.78,Yearly,UPI,DSL,4,3,7,Basic,3,49,Yes,1.9166666666666667,71.03391304347826,0.75,1
C153,64,Female,Delhi,58,107.61,6647.59,Monthly,Bank Transfer,Fiber,8,1,22,Premium,6,7,No,4.833333333333333,114.61362068965518,0.125,0
C154,52,Female,Hyderabad,47,104.31,5103.52,2-Year,Debit Card,DSL,8,3,19,Premium,7,52,No,3.9166666666666665,108.58553191489362,0.375,0
C155,47,Female,Hyderabad,18,108.14,2029.21,Monthly,UPI,No Internet,0,1,8,Standard,2,6,Yes,1.5,112.73388888888888,1.0,1
C156,46,Male,Mumbai,48,66.7,3221.97,Monthly,UPI,Fiber,4,1,28,Premium,10,20,No,4.0,67.124375,0.25,0
C157,67,Female,Mumbai,20,118.64,2380.87,2-Year,Bank Transfer,DSL,0,4,20,Standard,3,40,Yes,1.6666666666666667,119.0435,4.0,1
C158,53,Female,Chennai,23,88.78,2135.32,2-Year,Debit Card,No Internet,6,1,11,Standard,7,11,No,1.9166666666666667,92.84,0.16666666666666666,0
C159,48,Male,Mumbai,20,38.71,769.62,2-Year,UPI,No Internet,6,4,18,Standard,3,24,No,1.6666666666666667,38.481,0.6666666666666666,0
C160,31,Female,Bengaluru,60,60.25,3635.61,Monthly,Credit Card,Fiber,6,5,21,Standard,10,2,Yes,5.0,60.5935,0.8333333333333334,1
C161,30,Male,Coimbatore,14,56.63,850.79,2-Year,UPI,Fiber,1,5,26,Basic,8,58,No,1.1666666666666667,60.770714285714284,5.0,0
C162,56,Male,Kochi,59,55.55,3163.69,Monthly,Bank Transfer,No Internet,5,2,10,Premium,6,32,Yes,4.916666666666667,53.621864406779665,0.4,1
C163,47,Male,Coimbatore,49,111.86,5367.75,Yearly,Bank Transfer,Fiber,3,5,6,Premium,1,16,Yes,4.083333333333333,109.54591836734694,1.6666666666666667,1
C164,55,Female,Pune,10,46.85,473.73,Monthly,Credit Card,DSL,5,2,26,Premium,8,46,Yes,0.8333333333333334,47.373000000000005,0.4,1
C165,49,Female,Hyderabad,47,41.08,1998.82,Yearly,Bank Transfer,Fiber,0,4,3,Premium,2,60,Yes,3.9166666666666665,42.528085106382974,4.0,1
C166,21,Male,Kochi,9,46.99,436.93,Yearly,UPI,Fiber,7,2,3,Premium,10,40,Yes,0.75,48.54777777777778,0.2857142857142857,1
C167,57,Female,Coimbatore,2,77.41,142.73,Monthly,Debit Card,No Internet,0,4,28,Standard,7,51,Yes,0.16666666666666666,71.365,4.0,1
C168,29,Male,Bengaluru,34,43.23,1476.04,Monthly,Debit Card,DSL,1,2,14,Standard,8,36,No,2.8333333333333335,43.41294117647059,2.0,0
C169,62,Male,Pune,44,32.66,1550.09,Yearly,UPI,Fiber,6,3,19,Standard,8,3,No,3.6666666666666665,35.22931818181818,0.5,0
C170,62,Male,Bengaluru,32,86.27,2686.11,Yearly,UPI,No Internet,3,1,30,Basic,10,30,No,2.6666666666666665,83.9409375,0.3333333333333333,0
C171,22,Female,Chennai,12,54.88,707.18,2-Year,Credit Card,No Internet,1,2,7,Standard,10,15,No,1.0,58.931666666666665,2.0,0
C172,42,Female,Kochi,49,100.1,5053.47,Yearly,UPI,No Internet,5,0,5,Premium,7,14,No,4.083333333333333,103.13204081632654,0.0,0
C173,39,Female,Delhi,2,99.44,197.31,Yearly,Credit Card,DSL,6,3,7,Premium,10,42,Yes,0.16666666666666666,98.655,0.5,1
C174,67,Female,Mumbai,46,50.46,2276.59,Monthly,Credit Card,No Internet,5,2,5,Standard,2,0,Yes,3.8333333333333335,49.49108695652174,0.4,1
